1908,2042,2035,2036,0000
2124,2049,2017,1997,0000
2139,2062,2065,2079,0000
1921,2064,2056,2088,0000
2063,2051,2035,2079,0000
2172,2049,2003,2025,0000
1958,2060,2057,2051,0000
1987,2056,2038,2051,0000
2197,2060,2043,2074,0000
2033,2061,2037,2036,0000
1926,2045,2047,2042,0000
2170,2061,2055,2061,0000
2109,2072,2072,2095,0000
1892,2043,2013,2028,0000
2134,2086,2075,2089,0000
2149,2041,2029,2033,0000
1925,2065,2099,2067,0000
2028,2046,1999,1975,0000
2209,2064,2025,2034,0000
1967,2059,2029,2058,0000
1965,2050,2027,2003,0000
2187,2046,2078,2098,0000
2043,2066,2040,2087,0000
1910,2055,2031,2063,0000
2168,2061,2026,2047,0000
2115,2057,2143,2123,0000
1900,2053,2017,2006,0000
2087,2058,2053,2088,0000
2182,2061,2020,2057,0000
1936,2051,2057,2005,0000
2015,2051,2053,2054,0000
2190,2045,2008,1993,0000
1993,2059,2044,2082,0000
1947,2050,2006,2043,0000
2202,2063,2067,2074,0000
2067,2070,2068,2089,0000
1915,2072,2023,2033,0000
2153,2062,2061,2046,0000
2137,2075,2081,2104,0000
1905,2054,2035,2007,0000
2086,2060,2077,2107,0000
2185,2052,2049,2063,0000
1943,2048,2025,2048,0000
2013,2061,2021,1971,0000
2219,2064,2020,2098,0000
1994,2059,2054,2085,0000
1940,2053,2066,2077,0000
2183,2062,2037,2048,0000
2079,2063,2050,2044,0000
1906,2054,2017,2066,0000
2125,2043,2037,2033,0000
2158,2057,2061,2049,0000
1915,2061,2043,2032,0000
2063,2058,2058,2075,0000
2182,2046,2029,2033,0000
1951,2055,2036,2019,0000
1996,2076,2025,2049,0000
2194,2058,2022,2010,0000
2020,2054,2008,1995,0000
1934,2056,2033,2078,0000
2166,2049,2061,2115,0000
2098,2065,2062,2112,0000
1919,2059,2058,2018,0000
2113,2058,2028,2036,0000
2153,2051,2047,2075,0000
1922,2059,2040,2079,0000
2054,2067,2027,2014,0000
2196,2065,2083,2068,0000
1967,2064,2016,2029,0000
1971,2059,2067,2082,0000
2162,2031,2031,2043,0000
2042,2056,2051,2040,0000
1923,2054,2032,2024,0000
2152,2055,2025,2037,0000
2113,2055,2037,2083,0000
1911,2059,2030,2067,0000
2067,2036,2039,2044,0000
2191,2065,2033,2020,0000
1931,2062,2026,2005,0000
2011,2053,2060,2079,0000
2188,2035,1982,2007,0000
1981,2053,2044,2075,0000
1947,2055,2024,2016,0000
2205,2061,2050,2082,0000
2049,2053,2051,2054,0000
1901,2046,2037,2063,0000
2143,2056,2023,2023,0000
2129,2057,2054,2035,0000
1885,2033,2038,2056,0000
2067,2047,2013,2028,0000
2180,2054,2043,2049,0000
1933,2051,2045,2057,0000
1984,2031,2020,2001,0000
2212,2071,2111,2090,0000
1995,2052,2026,2034,0000
1935,2056,2042,2051,0000
2179,2043,1999,1991,0000
2072,2059,2036,2050,0000
1897,2053,2048,2080,0000
2137,2061,2046,2055,0000
2135,2041,2044,2045,0000
1905,2049,2015,2019,0000
2063,2058,2034,2067,0000
2192,2054,2047,2046,0000
1946,2043,2032,2016,0000
1996,2047,2061,2053,0000
